section,category,value,min_niche_coverage,smoke_limit
analysis_group,control,349916,0.95,
analysis_group,disturbed,60504,0.95,
disturbance_class,none,349916,0.95,
disturbance_class,insect,16452,0.95,
disturbance_class,other,11950,0.95,
disturbance_class,disease,11437,0.95,
disturbance_class,fire,10537,0.95,
disturbance_class,weather,10128,0.95,
overall,condition_rows,410420,0.95,
overall,rows_meeting_niche_coverage_threshold,371693,0.95,
overall,stable_plots,144380,0.95,
overall,rows_below_niche_coverage_threshold,38727,0.95,
overall,rows_with_plot_level_exclusion_warning,37669,0.95,
overall,rows_with_plot_level_harvest_agent_warning,27095,0.95,
overall,rows_on_less_than_50pct_forested_plots,26841,0.95,
overall,rows_using_global_fallback,11,0.95,
region,East,334769,0.95,
region,West,75651,0.95,
