metric,value,range_scope,weight_column,smoke_limit
n_condition_rows,475355,us_study_area_with_global_fallback,seedlings_tpa,
n_condition_rows_with_cwm,470545,us_study_area_with_global_fallback,seedlings_tpa,
n_seedling_species_rows,1818833,us_study_area_with_global_fallback,seedlings_tpa,
n_unique_seedling_species,608,us_study_area_with_global_fallback,seedlings_tpa,
n_unique_seedling_species_missing_niche,173,us_study_area_with_global_fallback,seedlings_tpa,
median_frac_weight_with_niche,1,us_study_area_with_global_fallback,seedlings_tpa,
p10_frac_weight_with_niche,0.954545454793503,us_study_area_with_global_fallback,seedlings_tpa,
n_condition_rows_below_95pct_niche_coverage,45523,us_study_area_with_global_fallback,seedlings_tpa,
n_condition_rows_using_global_fallback,14,us_study_area_with_global_fallback,seedlings_tpa,
median_frac_weight_with_global_fallback_niche,0,us_study_area_with_global_fallback,seedlings_tpa,
