year,category,count
1951,fire,1
1953,fire,1
1955,fire,1
1958,fire,1
1960,fire,2
1962,fire,1
1968,fire,1
1969,fire,1
1970,fire,1
1975,fire,2
1978,fire,63
1979,fire,58
1980,fire,80
1981,fire,61
1982,fire,50
1984,fire,1
1985,fire,6
1986,fire,2
1987,fire,4
1988,fire,203
1990,disease,1
1990,fire,3
1991,fire,3
1991,other,2
1992,fire,12
1992,other,8
1992,weather,5
1993,fire,11
1993,insects,2
1993,other,5
1993,vegetation,1
1993,weather,2
1994,disease,1
1994,fire,34
1994,other,20
1994,weather,17
1995,animal,3
1995,disease,1
1995,fire,36
1995,insects,5
1995,other,27
1995,vegetation,1
1995,weather,34
1996,animal,9
1996,disease,5
1996,fire,57
1996,insects,9
1996,other,64
1996,weather,24
1997,animal,25
1997,disease,15
1997,fire,88
1997,geologic,1
1997,insects,10
1997,other,42
1997,vegetation,4
1997,weather,30
1998,animal,72
1998,disease,21
1998,fire,191
1998,geologic,1
1998,insects,46
1998,other,111
1998,vegetation,2
1998,weather,202
1999,animal,111
1999,disease,47
1999,fire,206
1999,insects,96
1999,other,144
1999,vegetation,6
1999,weather,262
2000,animal,255
2000,disease,85
2000,fire,396
2000,geologic,4
2000,insects,201
2000,other,202
2000,vegetation,7
2000,weather,341
2001,animal,320
2001,disease,123
2001,fire,360
2001,geologic,6
2001,insects,299
2001,other,194
2001,vegetation,7
2001,weather,269
2002,animal,297
2002,disease,78
2002,fire,681
2002,geologic,6
2002,insects,262
2002,other,269
2002,vegetation,13
2002,weather,404
2003,animal,241
2003,disease,59
2003,fire,501
2003,geologic,5
2003,insects,245
2003,other,238
2003,vegetation,12
2003,weather,594
2004,animal,183
2004,disease,102
2004,fire,438
2004,geologic,5
2004,insects,186
2004,other,221
2004,vegetation,13
2004,weather,553
2005,animal,170
2005,disease,85
2005,fire,600
2005,geologic,5
2005,insects,246
2005,other,255
2005,vegetation,18
2005,weather,1035
2006,animal,169
2006,disease,82
2006,fire,736
2006,geologic,9
2006,insects,249
2006,other,222
2006,vegetation,23
2006,weather,282
2007,animal,150
2007,disease,84
2007,fire,953
2007,geologic,8
2007,insects,316
2007,other,244
2007,vegetation,18
2007,weather,434
2008,animal,162
2008,disease,74
2008,fire,820
2008,geologic,13
2008,insects,384
2008,other,210
2008,vegetation,25
2008,weather,832
2009,animal,147
2009,disease,87
2009,fire,659
2009,geologic,8
2009,insects,357
2009,other,185
2009,vegetation,22
2009,weather,1009
2010,animal,201
2010,disease,90
2010,fire,710
2010,geologic,18
2010,insects,468
2010,other,182
2010,vegetation,16
2010,weather,376
2011,animal,136
2011,disease,89
2011,fire,1063
2011,geologic,26
2011,insects,322
2011,other,158
2011,vegetation,23
2011,weather,1084
2012,animal,142
2012,disease,88
2012,fire,1254
2012,geologic,6
2012,insects,555
2012,other,141
2012,vegetation,19
2012,weather,577
2013,animal,103
2013,disease,63
2013,fire,931
2013,geologic,4
2013,insects,525
2013,other,113
2013,vegetation,17
2013,weather,234
2014,animal,66
2014,disease,52
2014,fire,848
2014,geologic,6
2014,insects,355
2014,other,107
2014,vegetation,21
2014,weather,251
2015,animal,86
2015,disease,90
2015,fire,1179
2015,geologic,7
2015,insects,444
2015,other,133
2015,vegetation,9
2015,weather,273
2016,animal,89
2016,disease,71
2016,fire,982
2016,geologic,10
2016,insects,358
2016,other,110
2016,vegetation,16
2016,weather,471
2017,animal,87
2017,disease,56
2017,fire,1096
2017,geologic,6
2017,insects,356
2017,other,96
2017,vegetation,16
2017,weather,385
2018,animal,89
2018,disease,59
2018,fire,1044
2018,geologic,3
2018,insects,339
2018,other,110
2018,vegetation,25
2018,weather,810
2019,animal,56
2019,disease,75
2019,fire,614
2019,geologic,2
2019,insects,319
2019,other,123
2019,vegetation,22
2019,weather,461
2020,animal,63
2020,disease,44
2020,fire,876
2020,geologic,3
2020,insects,279
2020,other,97
2020,vegetation,16
2020,weather,515
2021,animal,37
2021,disease,52
2021,fire,743
2021,geologic,3
2021,insects,205
2021,other,70
2021,vegetation,12
2021,weather,313
2022,animal,59
2022,disease,37
2022,fire,471
2022,geologic,2
2022,insects,222
2022,other,93
2022,vegetation,10
2022,weather,211
2023,animal,36
2023,disease,11
2023,fire,296
2023,insects,160
2023,other,50
2023,vegetation,7
2023,weather,158
2024,animal,15
2024,disease,9
2024,fire,155
2024,insects,69
2024,other,21
2024,vegetation,3
2024,weather,205
2025,animal,5
2025,disease,2
2025,fire,30
2025,weather,6
