"SURVEY_YEAR","total_acres","n_obs","tmax_c","tmin_c","precip_mm"
1997,320820.8,15165,24.837715878996,-10.7357159384115,535.87443387941
1998,353611.1,15771,26.598076709071,-10.2155233835962,719.259263726102
1999,424881.5,17875,25.2387250687524,-10.6875734487406,768.953973835592
2000,438407,14415,26.0881193436793,-9.7740911594015,671.816829788809
2001,838032,22858,26.6094145598569,-12.1689292536687,574.520250085473
2002,1390779.5,29235,27.0097944732894,-11.6013919562691,725.051815340498
2003,1628381.4,28264,28.1407657221937,-10.2432216335216,674.171985261904
2004,2488794.9,35617,24.2963475603489,-10.7119601536509,807.537080407032
2005,2999329.43,41445,25.6798011613477,-9.96526879347084,715.662958842
2006,2811791.3,40875,26.6816676718931,-12.1618962292972,847.739042256553
2007,4070514.3,39588,27.368358429937,-11.9406363297604,820.777660588599
2008,6259403.9,53754,25.0184906597216,-12.4806572696017,849.435377425035
2009,9161566.82,75409,24.4311810700575,-11.5918239308031,861.003186491622
2010,7177828.15,82282,23.6600031214413,-13.020075569587,824.061666072564
2011,3946352.61,64081,25.4996274775055,-12.1907998485989,994.035834020153
2012,2560425.91,168355,28.6192577508184,-10.3397746411764,534.321261018113
2013,1674849.21,206140,25.9584934189669,-10.2651311489761,660.289298431701
2014,1780776.58,145199,25.0782778872323,-13.8581523793241,839.915291901882
2015,1452379.61,121083,25.7761636315097,-9.07694720182475,749.852909784414
2016,1573532.57,53482,27.172720009182,-7.69276584996866,696.845126028335
2017,423122.43,8753,27.9417187838624,-10.3383111002004,1268.09899153364
2018,303902.59,5047,26.282516915836,-9.16841531555715,904.063712465313
2019,304161.37,4857,24.6479717688324,-11.6543513573976,1116.55238660301
2020,76335.84,2231,24.4406442401862,-7.70698357240023,1013.81219251701
2021,180082.95,2710,27.0391190892294,-9.00385755931841,727.814131135127
2022,275636.37,3474,26.2318558797471,-9.3559786450903,939.347058846585
2023,508282.08,4881,25.3843068654488,-11.4655312487719,984.073338115374
2024,392885.35,6614,25.851223808919,-8.55286554643827,858.141030200859
